date,ADULT,ALLERGY,ANTACID,ANTIFUNGAL,COLD SORE,DECONGESTANT,DENTURE,MANUAL TOOTHBRUSH,MOUTHWASH,MULTI SYMPTOM,NRT,TOOTHPASTE,TOPICAL
16/11/2019,155414.26,34751.3,115329.89,11040.02,11202.92,111223.55,33302.17,73952.62,223148.19,54187.39,284509.42,602503.52,90929.86
23/11/2019,155389.19,33201.27,120737.85,8606.4,9655.35,121491.04,34579.47,73042.37,226424.31,46015.92,342847.08,613130.45,94089.45
30/11/2019,160080.62,36186.03,133036.51,7558.12,9058.53,118356.73,36711.44,77679.57,225497.21,52356.86,372007.26,636813.3,105363.15
07/12/2019,159054.54,33812.21,118462.83,9104.79,10555.74,110330.43,36266.29,72828.6,222021.29,54340.84,382826.76,610952.06,82995.12
14/12/2019,161938.66,28526.79,102899.46,10416.94,7800.6,62291.02,36037.56,72319.24,197657.78,41046.32,150037.32,605740.64,39233.36
21/12/2019,175409.13,32128.9,150877.93,11113.27,11334.64,121187.12,35928.62,66569.72,187068.4,65385.4,324705.83,543202.13,92382.9
28/12/2019,94056.79,21769.85,97431.67,9134.54,7109.55,55452.83,16647.07,35928.22,106815.14,36452.17,207007.64,278233.03,56612.75
04/01/2020,152484.13,31652.07,114324.66,11012.56,9155.5,87031.51,32063.46,66847.26,219319.38,52244.27,385990.69,558102.84,80069.45
11/01/2020,176650.69,37891.37,141699.42,14633.66,10088.85,108258.12,39235.96,80197.42,251566.33,55202.24,435667.87,688288.02,96475.1
18/01/2020,170893.36,33274.92,114710.33,14141.67,9521.28,97514.59,37182.18,70112.74,224977.83,50538.59,375789.96,618958.67,92316.89
25/01/2020,173042.76,34355.79,105966.98,11127.2,14801.66,110892.54,37883.89,73367.33,231071.24,47247.15,370397.34,635073.24,88951.37
01/02/2020,172189.96,37769.97,110187.28,12765.95,10884.19,125418.84,38515.1,83317.03,243237.7,59171.74,373312.03,663247.7,97069.4
08/02/2020,182209.9,40337.91,120813.57,14932.34,13565.99,124933.34,37190.74,76113.74,245260.34,56876.52,402583.77,657381.37,104990.48
15/02/2020,177416.02,38480.83,120200.89,16261.36,13396.01,137476.06,36882.55,81667.52,234044.53,66232.32,358383.1,623165.95,88013.25
22/02/2020,158899.59,33878.97,107851.61,12621.63,11361.37,103794.66,35220.98,73640.25,231190.82,52451.49,332118.38,598096.27,85300.13
29/02/2020,226084.39,45312.64,126590.89,16782.28,10428.97,154785.02,37298.5,75086.71,255231.04,104278.32,384206.06,722307.58,99169.37
07/03/2020,334346.27,55860.53,143283.14,18029.99,11659.7,229951.67,42203.25,84349.24,279865.28,154979.31,428599.14,852193.57,117897.82
14/03/2020,323582.98,68358.05,161412.87,19897.81,13658.8,240641.57,44201.99,89287.14,267684.39,149237.61,489390.33,829875.12,112077.59
21/03/2020,269336.02,101922.7,173322.65,19344.4,10467.52,279777.48,62387.1,81472.73,279827.8,114965.79,679393.22,806603.19,125751.94
28/03/2020,221577.92,162841.96,217734.97,22578.81,8722.84,203596.5,85721.67,75567.22,331919.83,131091.07,716485.98,796237.11,158284.26
04/04/2020,290965.03,138854.59,202900.5,32639.1,7859.45,189990.51,87860.56,81938.13,339948.69,81489.21,567920.38,863208,188743.46
11/04/2020,202449.64,347439.58,224831.95,40237.87,9989.83,166513.83,94476.67,83849.01,332131.32,52699.56,633346.09,764916.35,191136.29
18/04/2020,253482.27,380399.01,270925.83,30239.35,13029.29,181691.66,92010.16,106212.18,361313.32,42120.31,630962.56,857910.04,215222.29
25/04/2020,249535.79,340398.13,249858.43,36484.5,15474.75,171866.16,90917.06,115271.93,340250.11,33650.53,695988.22,869618.53,219250.74
02/05/2020,264046.13,349472.05,255345.99,39188.81,14728.35,175144.98,88429.39,123182.33,369521.05,33738.24,684631.75,917168.92,238736.07
09/05/2020,270115.59,295505.73,250233.55,36889.95,15250.54,157693.59,86035.73,129375.3,382953.82,24813.82,614452.61,940778.22,216953.9
